_id,_full_text,ID_UEV,CIVIQUE_DEBUT,CIVIQUE_FIN,NOM_RUE,SUITE_DEBUT,MUNICIPALITE,ETAGE_HORS_SOL,NOMBRE_LOGEMENT,ANNEE_CONSTRUCTION,CODE_UTILISATION,LETTRE_DEBUT,LETTRE_FIN,LIBELLE_UTILISATION,CATEGORIE_UEF,MATRICULE83,SUPERFICIE_TERRAIN,SUPERFICIE_BATIMENT,NO_ARROND_ILE_CUM
20885,-000':20 '-0000':21 '-2738':18 '-71':17 '-8':19 '01017655':1 '1000':13 '1444':23 '1965':12 '22':11 '372':22 '4':10 '4444':2 '4446':3 '50':9 '9843':16 'de':5 'la':6 'logement':14 'mtl':8 'rem21':24 'roch':7 'rue':4 'régulier':15,1017655,4444,4446,rue De La Roche  ,,50,4,22,1965,1000,,,Logement,Régulier,9843-71-2738-8-000-0000,372,1444,Arrondissement du Plateau-Mont-Royal (Montréal)
20919,"-000':18 '-0000':19 '-4':17 '-6300':16 '-96':15 '01058631':1 '1000':11 '1380':21 '1956':10 '3':8 '36':9 '3687':2,3 '50':7 '557':20 '9841':14 'clark':5 'logement':12 'mtl':6 'rem21':22 'rue':4 'régulier':13",1058631,3687,3687,rue Clark  ,,50,3,36,1956,1000,,,Logement,Régulier,9841-96-6300-4-000-0000,557,1380,Arrondissement du Plateau-Mont-Royal (Montréal)
21263,"-000':22 '-0000':23 '-3':21 '-90':19 '-9410':20 '0043':18 '01019432':1 '1000':15 '1027':24 '1993':14 '2265':2,3 '2323':25 '27':13 '5':12 '50':11 'catherin':7 'est':8 'logement':16 'mte':9 'mtl':10 'rem19':26 'rue':4 'régulier':17 'saint':6 'sainte-catherin':5",1019432,2265,2265,rue Sainte-Catherine Est  ,,50,5,27,1993,1000,,,Logement,Régulier,0043-90-9410-3-000-0000,1027,2323,Arrondissement de Ville-Marie (Montréal)
21407,"-000':20 '-0000':21 '-4977':18 '-73':17 '-8':19 '01025595':1 '1000':13 '1800':12 '29':11 '3':10 '435':22 '50':9 '5281':2,3 '666':23 '9743':16 'hubert':7 'logement':14 'mtl':8 'rem21':24 'rue':4 'régulier':15 'saint':6 'saint-hubert':5",1025595,5281,5281,rue Saint-Hubert  ,,50,3,29,1800,1000,,,Logement,Régulier,9743-73-4977-8-000-0000,435,666,Arrondissement du Plateau-Mont-Royal (Montréal)
21549,-000':19 '-0000':20 '-3':18 '-65':16 '-8826':17 '01028518':1 '1000':12 '1030':21 '1925':11 '24':10 '3783':22 '4':9 '50':8 '5626':2 '5644':3 '9642':15 'avenu':4 'du':5 'logement':13 'mtl':7 'parc':6 'rem21':23 'régulier':14,1028518,5626,5644,avenue du Parc  ,,50,4,24,1925,1000,,,Logement,Régulier,9642-65-8826-3-000-0000,1030,3783,Arrondissement du Plateau-Mont-Royal (Montréal)
21551,-000':21 '-0000':22 '-23':18 '-4739':19 '-5':20 '03064782':1 '1000':14 '1240':23 '1932':13 '3345':24 '34':12 '4':11 '50':10 '6150':2 '6162':3 '9536':17 'logement':15 'mtl':7 'mto':8 'ouest':6 'rem34':25 'rue':4 'régulier':16 'sherbrook':5 'wmt':9,3064782,6150,6162,rue Sherbrooke Ouest  ,,50,4,34,1932,1000,,,Logement,Régulier,9536-23-4739-5-000-0000,1240,3345,Arrondissement de Côte-des-Neiges - Notre-Dame-de-Grâce (Montréal)
21570,-000':19 '-0000':20 '-4':18 '-47':16 '-7826':17 '01032245':1 '1000':12 '1910':11 '28':10 '3':9 '4247':2 '4257':3 '454':21 '50':8 '905':22 '9943':15 'avenu':4 'de':5 'logement':13 'lorimi':6 'mtl':7 'rem21':23 'régulier':14,1032245,4247,4257,avenue De Lorimier  ,,50,3,28,1910,1000,,,Logement,Régulier,9943-47-7826-4-000-0000,454,905,Arrondissement du Plateau-Mont-Royal (Montréal)
21604,"-000':18 '-0000':19 '-10':15 '-1026':16 '-7':17 '01027773':1 '1000':11 '1962':10 '27':9 '3':8 '340':20 '50':7 '700':2,3 '731':21 '9843':14 'gilford':5 'logement':12 'mtl':6 'rem21':22 'rue':4 'régulier':13",1027773,700,700,rue Gilford  ,,50,3,27,1962,1000,,,Logement,Régulier,9843-10-1026-7-000-0000,340,731,Arrondissement du Plateau-Mont-Royal (Montréal)
21633,-000':18 '-0000':19 '-1934':16 '-21':15 '-7':17 '01030718':1 '1000':11 '1801':21 '1957':10 '3':8 '32':9 '50':7 '5346':2 '5350':3 '744':20 '9844':14 'avenu':4 'logement':12 'mtl':6 'papineau':5 'rem21':22 'régulier':13,1030718,5346,5350,avenue Papineau  ,,50,3,32,1957,1000,,,Logement,Régulier,9844-21-1934-7-000-0000,744,1801,Arrondissement du Plateau-Mont-Royal (Montréal)
21758,-000':18 '-0000':19 '-68':15 '-7':17 '-9696':16 '01030804':1 '1000':11 '1910':10 '24':9 '3':8 '4815':2 '4827':3 '50':7 '919':20 '967':21 '9843':14 'avenu':4 'logement':12 'mtl':6 'papineau':5 'rem21':22 'régulier':13,1030804,4815,4827,avenue Papineau  ,,50,3,24,1910,1000,,,Logement,Régulier,9843-68-9696-7-000-0000,919,967,Arrondissement du Plateau-Mont-Royal (Montréal)
